TimeGenerated,DisplayName,AlertName,AlertSeverity,Description,ProviderName,VendorName,ProductName,SystemAlertId,AlertType,Status,ConfidenceLevel,ConfidenceScore,IsIncident,StartTime,EndTime,Entities,Tactics,Techniques,ProcessingEndTime,Type
2026-04-28T13:38:09Z,Anomalous file download,Anomalous file download,Low,Detected Anomalous file download,Microsoft Defender,Microsoft,Microsoft Defender,alert-104,Anomalousfiledownload,New,High,0.95,0,2026-04-28T13:38:09Z,2026-04-28T13:43:09Z,"[{""Type"": ""host"", ""HostName"": ""WS-HR-03""}]",Discovery,T1083,2026-04-28T13:39:09Z,SecurityAlert
2026-04-28T13:52:42Z,Lateral movement via SMB,Lateral movement via SMB,High,Unusual SMB activity from a single host to many destinations,Azure Sentinel,Microsoft,Microsoft Defender,alert-0213,LateralmovementviaSMB,Resolved,High,0.64,0,2026-04-28T13:52:42Z,2026-04-28T14:00:42Z,"[{""Type"": ""host"", ""HostName"": ""WS-MKT-01""}]",LateralMovement,T1021.002,2026-04-28T14:00:47Z,SecurityAlert
2026-04-28T13:57:44Z,Lateral movement via SMB,Lateral movement via SMB,High,Unusual SMB activity from a single host to many destinations,Azure Sentinel,Microsoft,Microsoft Defender,alert-0214,LateralmovementviaSMB,New,High,0.90,0,2026-04-28T13:57:44Z,2026-04-28T14:05:44Z,"[{""Type"": ""host"", ""HostName"": ""WS-MKT-01""}]",LateralMovement,T1021.002,2026-04-28T14:05:49Z,SecurityAlert
2026-04-28T14:37:11Z,Anomalous sign-in from unfamiliar location,Anomalous sign-in from unfamiliar location,Medium,User signed in from a country not previously seen,Azure Sentinel,Microsoft,Microsoft Defender,alert-0215,Anomaloussign-infromunfamiliarlocation,New,High,0.93,0,2026-04-28T14:37:11Z,2026-04-28T15:03:11Z,"[{""Type"": ""host"", ""HostName"": ""WS-IT-02""}]",InitialAccess,T1078,2026-04-28T15:03:16Z,SecurityAlert
2026-04-28T14:39:11Z,Lateral movement via SMB,Lateral movement via SMB,High,Unusual SMB activity from a single host to many destinations,Azure Sentinel,Microsoft,Microsoft Defender,alert-0216,LateralmovementviaSMB,New,High,0.98,0,2026-04-28T14:39:11Z,2026-04-28T15:09:11Z,"[{""Type"": ""host"", ""HostName"": ""LAP-DEV-05""}]",LateralMovement,T1021.002,2026-04-28T15:09:16Z,SecurityAlert
2026-04-28T14:43:17Z,Anomalous sign-in from unfamiliar location,Anomalous sign-in from unfamiliar location,Medium,User signed in from a country not previously seen,Azure Sentinel,Microsoft,Microsoft Defender,alert-0217,Anomaloussign-infromunfamiliarlocation,InProgress,High,0.67,0,2026-04-28T14:43:17Z,2026-04-28T15:09:17Z,"[{""Type"": ""host"", ""HostName"": ""WS-IT-02""}]",InitialAccess,T1078,2026-04-28T15:09:22Z,SecurityAlert
2026-04-28T14:46:14Z,Lateral movement via SMB,Lateral movement via SMB,High,Unusual SMB activity from a single host to many destinations,Azure Sentinel,Microsoft,Microsoft Defender,alert-0218,LateralmovementviaSMB,New,High,0.64,0,2026-04-28T14:46:14Z,2026-04-28T14:57:14Z,"[{""Type"": ""host"", ""HostName"": ""WS-DEV-02""}]",LateralMovement,T1021.002,2026-04-28T14:57:19Z,SecurityAlert
2026-04-28T14:55:56Z,First-time process,First-time process,Informational,Detected First-time process,Microsoft Defender,Microsoft,Microsoft Defender,alert-101,First-timeprocess,New,High,0.95,0,2026-04-28T14:55:56Z,2026-04-28T15:00:56Z,"[{""Type"": ""host"", ""HostName"": ""SVR-WEB-01""}]",Discovery,T1083,2026-04-28T14:56:56Z,SecurityAlert
2026-04-28T14:57:51Z,Suspicious scheduled task,Suspicious scheduled task,Medium,Schtasks created with binary in ProgramData,Azure Sentinel,Microsoft,Microsoft Defender,alert-0219,Suspiciousscheduledtask,New,High,0.98,0,2026-04-28T14:57:51Z,2026-04-28T15:12:51Z,"[{""Type"": ""host"", ""HostName"": ""WS-FIN-03""}]",Persistence,T1053.005,2026-04-28T15:12:56Z,SecurityAlert
2026-04-28T14:58:59Z,Lateral movement via SMB,Lateral movement via SMB,High,Unusual SMB activity from a single host to many destinations,Azure Sentinel,Microsoft,Microsoft Defender,alert-0220,LateralmovementviaSMB,New,High,0.92,0,2026-04-28T14:58:59Z,2026-04-28T15:09:59Z,"[{""Type"": ""host"", ""HostName"": ""WS-IT-02""}]",LateralMovement,T1021.002,2026-04-28T15:10:04Z,SecurityAlert
2026-04-28T15:05:26Z,Suspicious PowerShell execution,Suspicious PowerShell execution,Medium,Detected suspicious PowerShell EncodedCommand,Azure Sentinel,Microsoft,Microsoft Defender,alert-0221,SuspiciousPowerShellexecution,New,High,0.88,0,2026-04-28T15:05:26Z,2026-04-28T15:20:26Z,"[{""Type"": ""host"", ""HostName"": ""WS-SUPPORT-01""}]",Execution,T1059.001,2026-04-28T15:20:31Z,SecurityAlert
2026-04-28T15:05:54Z,DNS tunneling indicator,DNS tunneling indicator,Medium,High volume of TXT-record queries to an uncommon domain,Azure Sentinel,Microsoft,Microsoft Defender,alert-0222,DNStunnelingindicator,New,High,0.95,0,2026-04-28T15:05:54Z,2026-04-28T15:13:54Z,"[{""Type"": ""host"", ""HostName"": ""WS-IT-01""}]",CommandAndControl,T1071.004,2026-04-28T15:13:59Z,SecurityAlert
2026-04-28T15:12:21Z,Credential dumping detected,Credential dumping detected,High,lsass.exe memory access from an untrusted process,Azure Sentinel,Microsoft,Microsoft Defender,alert-0223,Credentialdumpingdetected,New,High,0.71,0,2026-04-28T15:12:21Z,2026-04-28T15:15:21Z,"[{""Type"": ""host"", ""HostName"": ""LAP-DEV-06""}]",CredentialAccess,T1003.001,2026-04-28T15:15:26Z,SecurityAlert
2026-04-28T15:23:47Z,Suspicious PowerShell execution,Suspicious PowerShell execution,Medium,Detected suspicious PowerShell EncodedCommand,Azure Sentinel,Microsoft,Microsoft Defender,alert-0224,SuspiciousPowerShellexecution,InProgress,High,0.70,0,2026-04-28T15:23:47Z,2026-04-28T15:49:47Z,"[{""Type"": ""host"", ""HostName"": ""WS-DEV-02""}]",Execution,T1059.001,2026-04-28T15:49:52Z,SecurityAlert
2026-04-28T15:28:44Z,Possible password spray,Possible password spray,High,A single source IP attempted login to many distinct accounts,Azure Sentinel,Microsoft,Microsoft Defender,alert-0225,Possiblepasswordspray,InProgress,High,0.67,0,2026-04-28T15:28:44Z,2026-04-28T15:48:44Z,"[{""Type"": ""host"", ""HostName"": ""WS-MKT-01""}]",CredentialAccess,T1110.003,2026-04-28T15:48:49Z,SecurityAlert
2026-04-28T15:32:00Z,Lateral movement via SMB,Lateral movement via SMB,High,Unusual SMB activity from a single host to many destinations,Azure Sentinel,Microsoft,Microsoft Defender,alert-0226,LateralmovementviaSMB,New,High,0.97,0,2026-04-28T15:32:00Z,2026-04-28T15:33:00Z,"[{""Type"": ""host"", ""HostName"": ""LAP-EXEC-01""}]",LateralMovement,T1021.002,2026-04-28T15:33:05Z,SecurityAlert
2026-04-28T15:41:37Z,Outbound to unusual port,Outbound to unusual port,Low,Detected Outbound to unusual port,Microsoft Defender,Microsoft,Microsoft Defender,alert-108,Outboundtounusualport,New,High,0.95,0,2026-04-28T15:41:37Z,2026-04-28T15:46:37Z,"[{""Type"": ""host"", ""HostName"": ""WS-FINANCE-01""}]",Discovery,T1083,2026-04-28T15:42:37Z,SecurityAlert
2026-04-28T16:12:01Z,DNS tunneling indicator,DNS tunneling indicator,Medium,High volume of TXT-record queries to an uncommon domain,Azure Sentinel,Microsoft,Microsoft Defender,alert-0227,DNStunnelingindicator,InProgress,High,0.61,0,2026-04-28T16:12:01Z,2026-04-28T16:16:01Z,"[{""Type"": ""host"", ""HostName"": ""WS-RECEPTION-01""}]",CommandAndControl,T1071.004,2026-04-28T16:16:06Z,SecurityAlert
2026-04-28T16:18:47Z,Anomalous sign-in from unfamiliar location,Anomalous sign-in from unfamiliar location,Medium,User signed in from a country not previously seen,Azure Sentinel,Microsoft,Microsoft Defender,alert-0228,Anomaloussign-infromunfamiliarlocation,InProgress,High,0.64,0,2026-04-28T16:18:47Z,2026-04-28T16:39:47Z,"[{""Type"": ""host"", ""HostName"": ""LAP-EXEC-01""}]",InitialAccess,T1078,2026-04-28T16:39:52Z,SecurityAlert
2026-04-28T16:21:34Z,Lateral movement via SMB,Lateral movement via SMB,High,Unusual SMB activity from a single host to many destinations,Azure Sentinel,Microsoft,Microsoft Defender,alert-0229,LateralmovementviaSMB,New,High,0.88,0,2026-04-28T16:21:34Z,2026-04-28T16:23:34Z,"[{""Type"": ""host"", ""HostName"": ""WS-FIN-02""}]",LateralMovement,T1021.002,2026-04-28T16:23:39Z,SecurityAlert
2026-04-28T16:31:54Z,Mass file deletion,Mass file deletion,Low,A user deleted 200+ files within 5 minutes,Azure Sentinel,Microsoft,Microsoft Defender,alert-0230,Massfiledeletion,New,High,0.72,0,2026-04-28T16:31:54Z,2026-04-28T16:53:54Z,"[{""Type"": ""host"", ""HostName"": ""WS-HR-03""}]",Impact,T1485,2026-04-28T16:53:59Z,SecurityAlert
2026-04-28T16:48:26Z,Anomalous file download,Anomalous file download,Informational,Detected Anomalous file download,Microsoft Defender,Microsoft,Microsoft Defender,alert-105,Anomalousfiledownload,New,High,0.95,0,2026-04-28T16:48:26Z,2026-04-28T16:53:26Z,"[{""Type"": ""host"", ""HostName"": ""WS-DEV-02""}]",Discovery,T1083,2026-04-28T16:49:26Z,SecurityAlert
2026-04-28T16:52:13Z,Suspicious PowerShell execution,Suspicious PowerShell execution,Medium,Detected suspicious PowerShell EncodedCommand,Azure Sentinel,Microsoft,Microsoft Defender,alert-0231,SuspiciousPowerShellexecution,InProgress,High,0.95,0,2026-04-28T16:52:13Z,2026-04-28T17:06:13Z,"[{""Type"": ""host"", ""HostName"": ""WS-HR-03""}]",Execution,T1059.001,2026-04-28T17:06:18Z,SecurityAlert
2026-04-28T17:19:02Z,Lateral movement via SMB,Lateral movement via SMB,High,Unusual SMB activity from a single host to many destinations,Azure Sentinel,Microsoft,Microsoft Defender,alert-0232,LateralmovementviaSMB,Resolved,High,0.91,0,2026-04-28T17:19:02Z,2026-04-28T17:43:02Z,"[{""Type"": ""host"", ""HostName"": ""LAP-DEV-05""}]",LateralMovement,T1021.002,2026-04-28T17:43:07Z,SecurityAlert
2026-04-28T17:19:53Z,DNS tunneling indicator,DNS tunneling indicator,Medium,High volume of TXT-record queries to an uncommon domain,Azure Sentinel,Microsoft,Microsoft Defender,alert-0233,DNStunnelingindicator,Resolved,High,0.64,0,2026-04-28T17:19:53Z,2026-04-28T17:26:53Z,"[{""Type"": ""host"", ""HostName"": ""WS-MKT-01""}]",CommandAndControl,T1071.004,2026-04-28T17:26:58Z,SecurityAlert
2026-04-28T17:31:55Z,First-time process,First-time process,Informational,Detected First-time process,Microsoft Defender,Microsoft,Microsoft Defender,alert-100,First-timeprocess,New,High,0.95,0,2026-04-28T17:31:55Z,2026-04-28T17:36:55Z,"[{""Type"": ""host"", ""HostName"": ""WS-HR-03""}]",Discovery,T1083,2026-04-28T17:32:55Z,SecurityAlert
2026-04-28T17:38:17Z,Mass file deletion,Mass file deletion,Low,A user deleted 200+ files within 5 minutes,Azure Sentinel,Microsoft,Microsoft Defender,alert-0234,Massfiledeletion,New,High,0.79,0,2026-04-28T17:38:17Z,2026-04-28T17:45:17Z,"[{""Type"": ""host"", ""HostName"": ""LAP-DEV-05""}]",Impact,T1485,2026-04-28T17:45:22Z,SecurityAlert
2026-04-28T17:41:54Z,Anomalous sign-in from unfamiliar location,Anomalous sign-in from unfamiliar location,Medium,User signed in from a country not previously seen,Azure Sentinel,Microsoft,Microsoft Defender,alert-0235,Anomaloussign-infromunfamiliarlocation,New,High,0.66,0,2026-04-28T17:41:54Z,2026-04-28T18:08:54Z,"[{""Type"": ""host"", ""HostName"": ""WS-DEV-02""}]",InitialAccess,T1078,2026-04-28T18:08:59Z,SecurityAlert
2026-04-28T17:42:00Z,Mass file deletion,Mass file deletion,Low,A user deleted 200+ files within 5 minutes,Azure Sentinel,Microsoft,Microsoft Defender,alert-0236,Massfiledeletion,InProgress,High,0.67,0,2026-04-28T17:42:00Z,2026-04-28T17:49:00Z,"[{""Type"": ""host"", ""HostName"": ""WS-IT-02""}]",Impact,T1485,2026-04-28T17:49:05Z,SecurityAlert
2026-04-28T17:46:23Z,Credential dumping detected,Credential dumping detected,High,lsass.exe memory access from an untrusted process,Azure Sentinel,Microsoft,Microsoft Defender,alert-0237,Credentialdumpingdetected,New,High,0.61,0,2026-04-28T17:46:23Z,2026-04-28T18:07:23Z,"[{""Type"": ""host"", ""HostName"": ""LAP-SALES-04""}]",CredentialAccess,T1003.001,2026-04-28T18:07:28Z,SecurityAlert
2026-04-28T17:50:59Z,DNS tunneling indicator,DNS tunneling indicator,Medium,High volume of TXT-record queries to an uncommon domain,Azure Sentinel,Microsoft,Microsoft Defender,alert-0238,DNStunnelingindicator,New,High,0.91,0,2026-04-28T17:50:59Z,2026-04-28T17:57:59Z,"[{""Type"": ""host"", ""HostName"": ""WS-FINANCE-01""}]",CommandAndControl,T1071.004,2026-04-28T17:58:04Z,SecurityAlert
2026-04-28T17:57:49Z,Suspicious PowerShell execution,Suspicious PowerShell execution,Medium,Detected suspicious PowerShell EncodedCommand,Azure Sentinel,Microsoft,Microsoft Defender,alert-0239,SuspiciousPowerShellexecution,New,High,0.76,0,2026-04-28T17:57:49Z,2026-04-28T18:05:49Z,"[{""Type"": ""host"", ""HostName"": ""WS-ENG-01""}]",Execution,T1059.001,2026-04-28T18:05:54Z,SecurityAlert
2026-04-28T18:06:05Z,Mass file deletion,Mass file deletion,Low,A user deleted 200+ files within 5 minutes,Azure Sentinel,Microsoft,Microsoft Defender,alert-0240,Massfiledeletion,New,High,0.65,0,2026-04-28T18:06:05Z,2026-04-28T18:11:05Z,"[{""Type"": ""host"", ""HostName"": ""WS-MKT-02""}]",Impact,T1485,2026-04-28T18:11:10Z,SecurityAlert
2026-04-28T18:17:13Z,Anomalous sign-in from unfamiliar location,Anomalous sign-in from unfamiliar location,Medium,User signed in from a country not previously seen,Azure Sentinel,Microsoft,Microsoft Defender,alert-0241,Anomaloussign-infromunfamiliarlocation,New,High,0.75,0,2026-04-28T18:17:13Z,2026-04-28T18:42:13Z,"[{""Type"": ""host"", ""HostName"": ""WS-SUPPORT-01""}]",InitialAccess,T1078,2026-04-28T18:42:18Z,SecurityAlert
2026-04-28T18:17:16Z,Suspicious PowerShell execution,Suspicious PowerShell execution,Medium,Detected suspicious PowerShell EncodedCommand,Azure Sentinel,Microsoft,Microsoft Defender,alert-0242,SuspiciousPowerShellexecution,InProgress,High,0.94,0,2026-04-28T18:17:16Z,2026-04-28T18:47:16Z,"[{""Type"": ""host"", ""HostName"": ""SVR-DC-01""}]",Execution,T1059.001,2026-04-28T18:47:21Z,SecurityAlert
2026-04-28T18:22:57Z,Credential dumping detected,Credential dumping detected,High,lsass.exe memory access from an untrusted process,Azure Sentinel,Microsoft,Microsoft Defender,alert-0243,Credentialdumpingdetected,New,High,0.82,0,2026-04-28T18:22:57Z,2026-04-28T18:23:57Z,"[{""Type"": ""host"", ""HostName"": ""LAP-SALES-03""}]",CredentialAccess,T1003.001,2026-04-28T18:24:02Z,SecurityAlert
2026-04-28T18:28:23Z,Suspicious scheduled task,Suspicious scheduled task,Medium,Schtasks created with binary in ProgramData,Azure Sentinel,Microsoft,Microsoft Defender,alert-0244,Suspiciousscheduledtask,New,High,0.64,0,2026-04-28T18:28:23Z,2026-04-28T18:33:23Z,"[{""Type"": ""host"", ""HostName"": ""LAP-DEV-05""}]",Persistence,T1053.005,2026-04-28T18:33:28Z,SecurityAlert
2026-04-28T18:28:37Z,Lateral movement via SMB,Lateral movement via SMB,High,Unusual SMB activity from a single host to many destinations,Azure Sentinel,Microsoft,Microsoft Defender,alert-0245,LateralmovementviaSMB,New,High,0.79,0,2026-04-28T18:28:37Z,2026-04-28T18:51:37Z,"[{""Type"": ""host"", ""HostName"": ""LAP-SALES-03""}]",LateralMovement,T1021.002,2026-04-28T18:51:42Z,SecurityAlert
2026-04-28T18:48:08Z,Suspicious scheduled task,Suspicious scheduled task,Medium,Schtasks created with binary in ProgramData,Azure Sentinel,Microsoft,Microsoft Defender,alert-0246,Suspiciousscheduledtask,New,High,0.67,0,2026-04-28T18:48:08Z,2026-04-28T19:11:08Z,"[{""Type"": ""host"", ""HostName"": ""WS-FIN-02""}]",Persistence,T1053.005,2026-04-28T19:11:13Z,SecurityAlert
2026-04-28T18:55:10Z,DNS tunneling indicator,DNS tunneling indicator,Medium,High volume of TXT-record queries to an uncommon domain,Azure Sentinel,Microsoft,Microsoft Defender,alert-0247,DNStunnelingindicator,InProgress,High,0.82,0,2026-04-28T18:55:10Z,2026-04-28T19:13:10Z,"[{""Type"": ""host"", ""HostName"": ""WS-RECEPTION-01""}]",CommandAndControl,T1071.004,2026-04-28T19:13:15Z,SecurityAlert
2026-04-28T18:56:40Z,Credential dumping detected,Credential dumping detected,High,lsass.exe memory access from an untrusted process,Azure Sentinel,Microsoft,Microsoft Defender,alert-0248,Credentialdumpingdetected,New,High,0.84,0,2026-04-28T18:56:40Z,2026-04-28T19:01:40Z,"[{""Type"": ""host"", ""HostName"": ""WS-FINANCE-01""}]",CredentialAccess,T1003.001,2026-04-28T19:01:45Z,SecurityAlert
2026-04-28T19:02:34Z,DNS tunneling indicator,DNS tunneling indicator,Medium,High volume of TXT-record queries to an uncommon domain,Azure Sentinel,Microsoft,Microsoft Defender,alert-0249,DNStunnelingindicator,New,High,0.91,0,2026-04-28T19:02:34Z,2026-04-28T19:11:34Z,"[{""Type"": ""host"", ""HostName"": ""WS-ENG-01""}]",CommandAndControl,T1071.004,2026-04-28T19:11:39Z,SecurityAlert
2026-04-28T19:05:40Z,Suspicious PowerShell execution,Suspicious PowerShell execution,Medium,Detected suspicious PowerShell EncodedCommand,Azure Sentinel,Microsoft,Microsoft Defender,alert-0250,SuspiciousPowerShellexecution,New,High,0.87,0,2026-04-28T19:05:40Z,2026-04-28T19:08:40Z,"[{""Type"": ""host"", ""HostName"": ""WS-FIN-02""}]",Execution,T1059.001,2026-04-28T19:08:45Z,SecurityAlert
2026-04-28T19:37:56Z,Suspicious PowerShell execution,Suspicious PowerShell execution,Medium,Detected suspicious PowerShell EncodedCommand,Azure Sentinel,Microsoft,Microsoft Defender,alert-0251,SuspiciousPowerShellexecution,New,High,0.89,0,2026-04-28T19:37:56Z,2026-04-28T19:59:56Z,"[{""Type"": ""host"", ""HostName"": ""LAP-EXEC-01""}]",Execution,T1059.001,2026-04-28T20:00:01Z,SecurityAlert
2026-04-28T19:38:02Z,Anomalous sign-in from unfamiliar location,Anomalous sign-in from unfamiliar location,Medium,User signed in from a country not previously seen,Azure Sentinel,Microsoft,Microsoft Defender,alert-0252,Anomaloussign-infromunfamiliarlocation,Resolved,High,0.70,0,2026-04-28T19:38:02Z,2026-04-28T19:47:02Z,"[{""Type"": ""host"", ""HostName"": ""LAP-EXEC-01""}]",InitialAccess,T1078,2026-04-28T19:47:07Z,SecurityAlert
2026-04-28T19:38:39Z,Suspicious scheduled task,Suspicious scheduled task,Medium,Schtasks created with binary in ProgramData,Azure Sentinel,Microsoft,Microsoft Defender,alert-0253,Suspiciousscheduledtask,Resolved,High,0.84,0,2026-04-28T19:38:39Z,2026-04-28T19:46:39Z,"[{""Type"": ""host"", ""HostName"": ""WS-MKT-01""}]",Persistence,T1053.005,2026-04-28T19:46:44Z,SecurityAlert
2026-04-28T19:40:17Z,Anomalous sign-in from unfamiliar location,Anomalous sign-in from unfamiliar location,Medium,User signed in from a country not previously seen,Azure Sentinel,Microsoft,Microsoft Defender,alert-0254,Anomaloussign-infromunfamiliarlocation,Resolved,High,0.93,0,2026-04-28T19:40:17Z,2026-04-28T19:41:17Z,"[{""Type"": ""host"", ""HostName"": ""WS-IT-02""}]",InitialAccess,T1078,2026-04-28T19:41:22Z,SecurityAlert
2026-04-28T20:00:53Z,Lateral movement via SMB,Lateral movement via SMB,High,Unusual SMB activity from a single host to many destinations,Azure Sentinel,Microsoft,Microsoft Defender,alert-0255,LateralmovementviaSMB,Resolved,High,0.67,0,2026-04-28T20:00:53Z,2026-04-28T20:04:53Z,"[{""Type"": ""host"", ""HostName"": ""WS-FINANCE-01""}]",LateralMovement,T1021.002,2026-04-28T20:04:58Z,SecurityAlert
2026-04-28T20:02:06Z,Suspicious scheduled task,Suspicious scheduled task,Medium,Schtasks created with binary in ProgramData,Azure Sentinel,Microsoft,Microsoft Defender,alert-0256,Suspiciousscheduledtask,InProgress,High,0.77,0,2026-04-28T20:02:06Z,2026-04-28T20:05:06Z,"[{""Type"": ""host"", ""HostName"": ""WS-RECEPTION-01""}]",Persistence,T1053.005,2026-04-28T20:05:11Z,SecurityAlert
